path,PKU-ONELab/Themis,Qwen/Qwen3.6-35B-A3B-FP8,additions,avg_characters,avg_sentences,avg_triples,avg_words,bleu,bleurt,domain,google/gemma-4-31B-it,gramatic,meteor,ommisions,senlen,themis
1_sm1benp_500/Building_output/scores.json,0.8956521739130435,0.7913043478260869,0.17391304347826086,196.84782608695653,3.347826086956522,4.565217391304348,34.73913043478261,0.4157647017809417,0.030225971740657002,Building,0.9434782608695652,0.34782608695652173,0.618110939475036,0.0,0.8043478260869567,
1_sm1benp_500/Food_output/scores.json,0.691304347826087,0.5086956521739131,0.043478260869565216,156.7391304347826,1.0,4.565217391304348,26.76086956521739,0.08412051588250793,0.06833437147239844,Food,0.8608695652173912,0.0,0.5105618422917652,0.0,0.8586956521739131,
1_sm1benp_500/WrittenWork_output/scores.json,0.9581395348837208,0.8930232558139535,0.0,108.67441860465117,2.3488372093023258,2.3488372093023258,19.813953488372093,0.5564623989368731,0.2161745549172394,WrittenWork,0.9813953488372092,0.7441860465116279,0.7654485109858392,0.0,0.3488372093023255,
2_sm1beyp_500/Building_output/scores.json,0.8782608695652174,0.8608695652173912,0.15217391304347827,196.84782608695653,3.347826086956522,4.565217391304348,34.73913043478261,0.4157647017809417,0.030225971740657002,Building,0.9652173913043478,0.34782608695652173,0.618110939475036,0.043478260869565216,0.8043478260869567,
2_sm1beyp_500/Food_output/scores.json,0.7043478260869566,0.4913043478260869,0.13043478260869565,156.7391304347826,1.0,4.565217391304348,26.76086956521739,0.08412051588250793,0.06833437147239844,Food,0.8478260869565217,0.0,0.5105618422917652,0.0,0.8586956521739131,
2_sm1beyp_500/WrittenWork_output/scores.json,0.9395348837209303,0.758139534883721,0.046511627906976744,107.34883720930233,2.4186046511627906,2.3488372093023258,19.3953488372093,0.5579018655783371,0.18712032901108727,WrittenWork,0.944186046511628,0.4883720930232558,0.7657467220419558,0.0,0.4186046511627906,
3_sm1feyp_500/Food_output/scores.json,0.5739130434782609,0.41739130434782606,0.043478260869565216,157.17391304347825,1.0,4.565217391304348,27.26086956521739,0.06706222781402578,-0.22751603537387605,Food,0.7391304347826086,0.043478260869565216,0.4968208279594302,0.0,0.8586956521739131,
3_sm1feyp_500/WrittenWork_output/scores.json,,,,,,,,0.5404592297272737,0.21940857128695,WrittenWork,,,0.7666656958065766,,0.3488372093023255,0.0
3_sm1ifenp_500/Building_output/scores.json,0.9043478260869564,0.808695652173913,0.0,203.54347826086956,3.347826086956522,4.565217391304348,37.95652173913044,0.41978263047017667,0.08042215559955525,Building,1.0,0.5869565217391305,0.611832653780231,0.0,0.8043478260869567,
3_sm1ifenp_500/Food_output/scores.json,0.8434782608695652,0.6434782608695653,0.0,153.67391304347825,1.0,4.565217391304348,26.152173913043477,0.09037924803254707,-0.1787786039699247,Food,1.0,0.9347826086956522,0.5008890997737386,0.0,0.8586956521739131,
3_sm1ifenp_500/WrittenWork_output/scores.json,0.9906976744186047,0.9116279069767442,0.0,106.93023255813954,2.4186046511627906,2.3488372093023258,20.441860465116278,0.519238234471483,0.241746923489164,WrittenWork,1.0,0.9534883720930233,0.7355381250302931,0.0,0.4186046511627906,
5_1krand30m1p_100/Building_output/scores.json,0.9478260869565217,0.8,0.0,212.08695652173913,3.347826086956522,4.565217391304348,38.56521739130435,0.3664582464738956,0.07388478170648434,Building,1.0,0.8260869565217391,0.605193469136089,0.0,0.8043478260869567,
5_1krand30m1p_100/Food_output/scores.json,0.8695652173913043,0.5782608695652174,0.0,170.1086956521739,1.0,4.565217391304348,28.282608695652176,0.09376876625307666,-0.08874890274381722,Food,1.0,0.391304347826087,0.4802693086969282,0.0,0.8586956521739131,
5_1krand30m1p_100/WrittenWork_output/scores.json,0.9953488372093023,0.9720930232558139,0.0,110.79069767441861,2.3488372093023258,2.3488372093023258,20.372093023255815,0.5498639070257952,0.23708741014548973,WrittenWork,1.0,0.8837209302325582,0.7614664661292206,0.0,0.3488372093023255,
5_1krand30m4p_100/Building_output/scores.json,0.9217391304347826,0.7869565217391304,0.0,208.84782608695653,3.347826086956522,4.565217391304348,37.95652173913044,0.36639420394389766,0.030058910260381905,Building,1.0,0.9565217391304348,0.6198103869401982,0.0,0.8043478260869567,
5_1krand30m4p_100/Food_output/scores.json,0.9173913043478261,0.7565217391304347,0.0,166.34782608695653,1.0,4.565217391304348,28.804347826086957,0.07211464243568232,-0.15588662614101084,Food,1.0,0.6086956521739131,0.48242818983588054,0.0,0.8586956521739131,
5_1krand30m4p_100/WrittenWork_output/scores.json,0.9953488372093023,0.9348837209302326,0.0,104.67441860465117,2.4186046511627906,2.3488372093023258,19.86046511627907,0.5347948665971007,0.23586519091397296,WrittenWork,1.0,0.8837209302325582,0.7385591293808087,0.0,0.4186046511627906,
