path,PKU-ONELab/Themis,Qwen/Qwen3.6-35B-A3B-FP8,additions,avg_characters,avg_sentences,avg_triples,avg_words,bleu,bleurt,domain,google/gemma-4-31B-it,gramatic,meteor,ommisions,senlen
nlg/Airport_output/scores.json,0.728421052631579,0.5263157894736843,0.10526315789473684,131.76842105263157,1.8,3.3473684210526318,19.073684210526316,0.028139317610970997,-0.36049037895312436,Airport,0.8210526315789475,0.06315789473684211,0.4775533149343288,0.17894736842105263,0.5807017543859649
nlg/Artist_output/scores.json,0.7467889908256881,0.42568807339449544,0.0,110.8348623853211,1.3211009174311927,2.908256880733945,12.954128440366972,0.10933610758684023,-0.3992335057791766,Artist,0.653211009174312,0.1651376146788991,0.4685255172308709,0.01834862385321101,0.34556574923547406
nlg/Astronaut_output/scores.json,0.7024390243902439,0.5024390243902439,0.0,132.5,1.475609756097561,3.707317073170732,18.9390243902439,0.0694035944499773,-0.4682561244391571,Astronaut,0.9121951219512194,0.4878048780487805,0.4694992293048901,0.0,0.5223577235772358
nlg/Athlete_output/scores.json,0.8119999999999999,0.5519999999999999,0.0,115.8,2.12,2.9,19.36,0.25061288536505455,-0.05618616571029028,Athlete,0.836,0.44,0.5419107180266891,0.0,0.43333333333333335
nlg/CelestialBody_output/scores.json,0.6208333333333333,0.3625,0.7291666666666666,180.16666666666666,4.833333333333333,3.2857142857142856,25.270833333333332,0.29240461246975313,-0.19165692342600474,CelestialBody,0.425,0.20833333333333334,0.579156540671955,0.0625,1.1666666666666667
nlg/City_output/scores.json,0.8746987951807229,0.5012048192771085,0.0,118.60240963855422,1.7951807228915662,3.0602409638554215,14.783132530120483,0.11811248378283257,-0.5811347409289884,City,0.819277108433735,0.7349397590361446,0.4273813047984117,0.0,0.5903614457831325
nlg/ComicsCharacter_output/scores.json,0.9199999999999999,0.47333333333333333,0.0,108.0,1.8333333333333333,3.533333333333333,15.766666666666667,0.20928968710970444,-0.5819280927793847,ComicsCharacter,0.6066666666666667,0.03333333333333333,0.45726091013228076,0.0,0.47222222222222227
nlg/Company_output/scores.json,0.6575757575757576,0.4424242424242424,0.030303030303030304,133.63636363636363,1.2878787878787878,2.9696969696969697,19.484848484848484,0.06351550784364816,-0.37504146874628286,Company,0.0,0.09090909090909091,0.4905443414581572,0.0,0.36363636363636365
nlg/Film_output/scores.json,0.8962121212121212,0.5462121212121211,0.0,139.56060606060606,3.0833333333333335,2.9393939393939394,23.920454545454547,0.26415428031098925,-0.16598044830901226,Film,0.0,0.6174242424242424,0.5740292310901376,0.24242424242424243,1.2443181818181819
nlg/Food_output/scores.json,0.9304347826086957,0.4217391304347826,0.0,176.65217391304347,4.565217391304348,4.565217391304348,27.065217391304348,0.05399877168789859,-0.14830034863257752,Food,0.0,0.0,0.47764771639481063,0.0,2.7065217391304346
nlg/MeanOfTransportation_output/scores.json,0.8689655172413794,0.6206896551724138,0.0,98.93103448275862,1.4137931034482758,2.6724137931034484,14.344827586206897,0.24347547983519832,-0.22780983775169,MeanOfTransportation,0.0,0.0,0.5786512546319647,0.0,0.21264367816091956
nlg/MusicalWork_output/scores.json,0.8317241379310344,0.4910344827586207,0.0,178.02068965517242,3.1862068965517243,2.8448275862068964,29.117241379310343,0.16332520458708602,-0.49359935757329404,MusicalWork,0.5806896551724138,0.0,0.554620964689053,0.0,3.4837931034482756
nlg/Politician_output/scores.json,0.5931034482758621,0.47586206896551725,0.0,139.72413793103448,2.6551724137931036,3.586206896551724,20.24137931034483,0.3241306084013331,-0.34573381244279877,Politician,0.6482758620689655,0.0,0.5564959060106559,0.0,0.5862068965517241
nlg/Scientist_output/scores.json,0.8023166023166024,0.5150579150579151,0.0,124.51351351351352,2.613899613899614,2.7451737451737452,17.324324324324323,0.1591380214259385,-0.273524522114943,Scientist,0.0,0.0,0.45918261611074385,0.1969111969111969,1.225868725868726
nlg/University_output/scores.json,0.7355555555555555,0.5666666666666667,0.0,217.14444444444445,2.911111111111111,3.7,30.144444444444446,0.10242421193886536,-0.5230806918538831,University,0.0,0.011111111111111112,0.6222508925132061,0.0,0.4777777777777778
nlg/WrittenWork_output/scores.json,0.36279069767441857,0.2744186046511628,0.5581395348837209,240.7906976744186,3.7674418604651163,2.3488372093023258,40.16279069767442,0.27244648030284707,-1.0066949450807976,WrittenWork,0.2697674418604651,0.0,0.5926533987540226,0.4883720930232558,1.868217054263566
