,,,,,,,,,,,,,,,,
,We ran this method on the whole WebNLG dataset,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"1 island, bleu score evaluation, with inspirations",,,,,,,,,,,,,
,,avg,0.3431,0.0478,0.6161,0.6939,1.0000,0.7879,0.9128,0.8251,0.0000,0.0000,2.2555,28.1835,154.7159,3.8264
,,,,,,,,,,,,,,,,
,,,"llm as a judge, with inspirations, 31B model (500 iterations!!!)",,,,,,,,,,,,,
,,,bleu,bleurt,meteor,senlen,llm as judge (gemma),llm as judge (qwen 3.6 fp8),themis,gramatic,additions,ommisions,avg_sentences,avg_words,avg_characters,avg_triples
,,Written Work,0.5405,0.2194,0.7667,0.3488,1.0000,0.9511,0.9904,0.8733,0.0000,0.0000,2.3488,19.8140,108.6744,2.3488
,,Building,0.4168,0.0214,0.6231,0.8043,1.0000,0.8783,0.9565,0.5870,0.0000,0.0000,3.3478,34.7391,196.8478,4.5652
,,Food,0.0671,-0.2275,0.4968,0.8587,0.7391,0.4174,0.5739,0.0435,0.0435,0.0000,1.0000,27.2609,157.1739,4.5652
,,avg,0.3414,0.0044,0.6289,0.6706,0.9130,0.7489,0.8403,0.5013,0.0145,0.0000,2.2322,27.2713,154.2321,3.8264
,,,,,,,,,,,,,,,,
,,,"llm as a judge, with inspirations, 31B model (80%), 753B model (20%) (100 iterations)",,,,,,,,,,,,,
,,,bleu,bleurt,meteor,senlen,llm as judge (gemma),llm as judge (qwen 3.6 fp8),themis,gramatic,additions,ommisions,avg_sentences,avg_words,avg_characters,avg_triples
,,Written Work,0.5499,0.2371,0.7615,0.3488,1.0000,0.9721,0.9953,0.8837,0.0000,0.0000,2.3488,20.3721,110.7907,2.3488
,,Building,0.3665,0.0739,0.6052,0.8043,1.0000,0.8000,0.9478,0.8261,0.0000,0.0000,3.3478,38.5652,212.0870,4.5652
,,Food,0.0938,-0.0887,0.4803,0.8587,1.0000,0.5783,0.8696,0.3913,0.0000,0.0000,1.0000,28.2826,170.1087,4.5652
,,avg,0.3367,0.0741,0.6156,0.6706,1.0000,0.7835,0.9376,0.7004,0.0000,0.0000,2.2322,29.0733,164.3288,3.8264
,,,,,,,,,,,,,,,,
,,,"llm as a judge, with inspirations, 31B model (80%), 753B model (20%), 4 threads (100 iterations)",,,,,,,,,,,,,
,,,bleu,bleurt,meteor,senlen,llm as judge (gemma),llm as judge (qwen 3.6 fp8),themis,gramatic,additions,ommisions,avg_sentences,avg_words,avg_characters,avg_triples
,,Written Work,0.5348,0.2359,0.7386,0.4186,1.0000,0.9349,0.9953,0.8837,0.0000,0.0000,2.4186,19.8605,104.6744,2.3488
,,Building,0.3664,0.0301,0.6198,0.8043,1.0000,0.7870,0.9217,0.9565,0.0000,0.0000,3.3478,37.9565,208.8478,4.5652
,,Food,0.0721,-0.1559,0.4824,0.8587,1.0000,0.7565,0.9174,0.6087,0.0000,0.0000,1.0000,28.8043,166.3478,4.5652
,,avg,0.3244,0.0367,0.6136,0.6939,1.0000,0.8261,0.9448,0.8163,0.0000,0.0000,2.2555,28.8738,159.9567,3.8264
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Average scores of other methods (Written Work, Building, Food)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,bleu,bleurt,meteor,senlen,llm as judge (gemma),llm as judge (qwen 3.6 fp8),themis,gramatic,additions,ommisions,avg_sentences,avg_words,avg_characters,avg_triples
,,Rule-based generator,0.2063,-0.4489,0.5498,1.9138,0.2316,0.3529,0.6380,0.0694,0.4291,0.1836,4.3887,30.8329,199.2032,3.3999
,,Fine-tuned BART,0.5628,0.2398,0.7126,0.7414,0.6707,0.5964,0.8123,0.7878,0.2782,0.1122,2.3025,147.8967,27.3637,3.8264
,,LLM prompt,0.4781,0.2310,0.6720,0.6706,0.9848,0.9660,0.9826,0.9778,0.0000,0.0000,2.2322,141.2164,25.2174,3.8264
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Full scores of other methods,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Rule-based generator,,,,,,,,,,,,,
,,,bleu,bleurt,meteor,senlen,llm as judge (gemma),llm as judge (qwen 3.6 fp8),themis,gramatic,additions,ommisions,avg_sentences,avg_words,avg_characters,avg_triples
,,Airport,0.0281,-0.3605,0.4776,0.5807,0.8211,0.5263,0.7284,0.0632,0.1053,0.1789,1.8000,19.0737,131.7684,3.3474
,,Artist,0.1093,-0.3992,0.4685,0.3456,0.6532,0.4257,0.7468,0.1651,0.0000,0.0183,1.3211,12.9541,110.8349,2.9083
,,Astronaut,0.0694,-0.4683,0.4695,0.5224,0.9122,0.5024,0.7024,0.4878,0.0000,0.0000,1.4756,18.9390,132.5000,3.7073
,,Athlete,0.2506,-0.0562,0.5419,0.4333,0.8360,0.5520,0.8120,0.4400,0.0000,0.0000,2.1200,19.3600,115.8000,2.9000
,,Building,0.2924,-0.1917,0.5792,1.1667,0.4250,0.3625,0.6208,0.2083,0.7292,0.0625,4.8333,25.2708,180.1667,3.2857
,,Celestial Body,0.1181,-0.5811,0.4274,0.5904,0.8193,0.5012,0.8747,0.7349,0.0000,0.0000,1.7952,14.7831,118.6024,3.0602
,,City,0.2093,-0.5819,0.4573,0.4722,0.6067,0.4733,0.9200,0.0333,0.0000,0.0000,1.8333,15.7667,108.0000,3.5333
